name,category,subcategory
Reflect Stainless Steel + Scrub Pad : 1 Unit,,
Scotch-Brite Scrub Pad 9.5x14 cm : 3 Units,,
Gala Scrub Pad : 5 Units,,
Gala Super Scrub : 2 Units,,
Scotch Brite Steel Scrubber : 3 Units,,
Gala Double Hockey Toilet Brush : 1 Unit,Grocery & Food,Pantry Essentials
Force 10 Double Sided Hockey Toilet Brush : 1 Unit,Grocery & Food,Pantry Essentials
Scotch-Brite Jet Scrubber : 1 Unit,,
Force 10 Handle Scrubber : 1 Unit,,
Gala Double Hockey Toilet Brush With Holder Stand - Grey : 1 Unit,Grocery & Food,Pantry Essentials
Gala Super Scrub : 1 Unit,,
Scotch Brite Silver Spark Scrub Pads : 6 Units,,
Scotch-Brite Scrub Sponge 9.5x6 cm : 2 Unit,,
Reflect Sponge Scrub - 10 x 7 cm : 2 Units,,
Gebi Super Spin Mop Stainless Steel Spinner (Turquoise Blue) : 1 Unit,,
Gala Cloth Brush : 1 Unit,,
Gala Double Hockey Antibacterial Toilet Brush : 1 Unit,Grocery & Food,Pantry Essentials
Gala T-mop Floor Cleaner Blue : 1 Unit,,
Gala Toilex Square Brush with Square Container : 1 Unit,Grocery & Food,Pantry Essentials
Gebi Bucket Mop Handle Set (Turquoise Blue) : 1 Unit,,
Gala Stylo Sink Brush : 1 Unit,,
Gebi Bathroom & Window Wiper (Assorted) : 1 Unit,,
Beezy 2 In 1 Soap Dispenser With Sponge Holder : 1 Unit,,
Gala Toilean Toilet Brush : 1 Unit,Grocery & Food,Pantry Essentials
Scotch Brite Double Side Toilet Brush : 1 Unit,Grocery & Food,Pantry Essentials
Scotch Brite Toilet Brush Round Holder : 1 Unit,Grocery & Food,Pantry Essentials
Scotch Brite Power Scrub : 1 Unit,,
Gala Long Handle Tile Cleaner Blue : 1 Unit,,
Reflect Kitchen Sponge Scrubber - Set of 2 : 1 Unit,,
Scotch Brite Kitchen Sink Brush : 1 Unit,,
Plastic Cleaning Brush With Handle : 1 Unit,,
Beezy Soap Roller - Blue : 1 Unit,,
Scotch-Brite Scrub Sponge 6x9.5 cm : 1 Unit,,
Gala Scrub Sponge Utensil Cleaner : 1 Unit,,
Gebi Richline Floor Wiper 110 cm Metal Handle (Turquoise Blue) : 1 Unit,,
Scotch Brite Steel Scrub : 1 Unit,,
Gala Stainless Steel Utensil Scrubber : 6 Piece,,
Scotch Brite Premium Kitchen Towel : 3 Units,,
Silicone Water Bottle Cleaning Brush : 1 Unit,,
Scotch-Brite Scrub Net Sponge : 2 Units,,
Gala Iron Bull Scrub Pad : 1 Unit,,
Gebi Anti-Bacterial Dust Free Broom XXL (Fluorescent Green) : 1 Unit,,
Moonship Bottle Cleaning Brush : 1 Unit,,
Scotch Brite Antibacterial Scrub Pad : 3 Units,,
