name,category,subcategory,mrp,dmart_price,unit
Caresmith Charge Boost X Percussion Massage Gun -Dark Blue : 1 Unit,Uncategorized,,3900.0,3900.0,1 Unit
Nouvetta Bluetooth Digital Personal Smart Weighing Scale Machine : Black,Uncategorized,,2695.0,2695.0,
Caresmith Bloom Bikini Trimmer Plus -Purple :1 Unit,Uncategorized,,3000.0,3000.0,1 Unit
Caresmith Crew T -Blade Beard Trimmer - Blue :1 Unit,Uncategorized,,2500.0,2500.0,1 Unit
Eagle Multi Purpose Digital Weighing Scale (10 kg) - Sky Blue : 1 Unit,Uncategorized,,999.0,999.0,1 Unit
Eagle Electronic Personal Weighing Scale (180 kg) - Multi : 1 Unit,Electronics & Appliances,electronic,1999.0,1999.0,1 Unit
Zlade Ballistic TURBO 3.0 Full-Body Manscaping Trimmer For Men - Black : 1 Unit,Lighting & Electrical,pin,3999.0,3999.0,1 Unit
Zlade Ballistic Pro Full-Body Manscaping Trimmer With Ceramic Blades - Black : 1 Unit,Lighting & Electrical,pin,2999.0,2999.0,1 Unit
Eagle Portable Electronic Hanging Scale (50 kg) - Assorted  : 1 Unit,Electronics & Appliances,electronic,899.0,899.0,1 Unit
Zlade Ballistic Nose & Ear Hair Trimmer - Black : 1 Unit,Personal Care & Beauty,hair,999.0,999.0,1 Unit
Zlade Ballistic Lite Full-Body Trimmer with Extra Head - Black : 1 Unit,Uncategorized,,2798.0,2798.0,1 Unit
Agaro Electric Callus Remover CR1727 With 3 Head Rollers : 1 unit,Uncategorized,,1299.0,1299.0,1 Unit
Caresmith Crew Manscaping Trimmer - Blue :1 Unit,Lighting & Electrical,pin,2500.0,2500.0,1 Unit
Zlade Summer Intimate Body Trimmer For Women - Pink : 1 Unit,Lighting & Electrical,pin,2999.0,2999.0,1 Unit
Agaro Atom Electric Handheld Full Body Massager - 28 W : 1Unit,Uncategorized,,1995.0,1995.0,1 Unit
Ambrane Fitshot Sphere 1.28 Inches Smart Watch : Raven Black,Uncategorized,,4999.0,4999.0,
